mass_g,year,reclat,reclong,time_period,mass_kg
4500,1879,17.83333,73.98333,1950 and older,4.5
2770,1942,26.03333,81.46667,1950 and older,2.77
448,1913,36.04167,139.95667,1950 and older,0.448
1293,1902,14.18333,75.8,1950 and older,1.293
299,1959,31.6,65.78333,1951 to 1960,0.299
1630,1908,-7,115.5,1950 and older,1.63
400,1897,32.08333,76.3,1950 and older,0.4
11355,1942,4.7,33.63333,1950 and older,11.355
1600,2004,20.33916,73.22329,2001 to 2010,1.6
3500,1937,42.45,73.36667,1950 and older,3.5
3000,1840,47.21667,81.01667,1950 and older,3
2220,1963,-3.5,35.58333,1961 to 1970,2.22
180,1949,12.9,7.15,1950 and older,0.18
22000,1905,27.8,67.16667,1950 and older,22
2950,1955,31.58333,71.6,1951 to 1960,2.95
41730,1930,-35.08333,139.91667,1950 and older,41.73
710,1938,35.36667,136.76667,1950 and older,0.71
16820,2003,29.58333,77.58333,2001 to 2010,16.82
1500,1999,11.33333,10.08333,1991 to 2000,1.5
6800,2006,25.14333,75.81333,2001 to 2010,6.8
85000,1961,39.26333,31.78,1961 to 1970,85
3300,1940,-7.75,112.01667,1950 and older,3.3
5760,2008,36.54194,29.41822,2001 to 2010,5.76
6937,1939,29.45,-96,1950 and older,6.937
6669.2,2003,20.4625,86.70278,2001 to 2010,6.6692
5000,1874,48.4,-3.3,1950 and older,5
80000,1869,48.11667,-3.08333,1950 and older,80
135000,1850,38.98333,141.61667,1950 and older,135
13600,1873,29.53333,72.3,1950 and older,13.6
3698,1932,25.55,83.11667,1950 and older,3.698
1500,1787,50.625,35.075,1950 and older,1.5
450,1860,26.95,77.88333,1950 and older,0.45
100,1867,28.01667,75.81667,1950 and older,0.1
6109,1929,56.75,75.33333,1950 and older,6.109
9700,1910,25.1,81.53333,1950 and older,9.7
3200,1932,16,36,1950 and older,3.2
100000,1983,14,28,1981 to 1990,100
737.6,1962,54.4,10.15,1961 to 1970,0.7376
1500,1970,16.58333,-11.33333,1961 to 1970,1.5
331,1906,36.85,138.38333,1950 and older,0.331
195,1809,55,34,1950 and older,0.195
19000,2002,12.76667,9.8,2001 to 2010,19
772,1911,43.58333,-89.6,1950 and older,0.772
140,1844,54.66667,-7.66667,1950 and older,0.14
67.4,1967,11.63333,24.68333,1961 to 1970,0.0674
97.7,1906,30.75,-95.95,1950 and older,0.09770000000000001
1550,1914,48.16667,22.30833,1950 and older,1.55
202.6,1998,43.38333,-80.38333,1991 to 2000,0.2026
3250,1843,51.6,10.8,1950 and older,3.25
500000,1866,48.9,22.4,1950 and older,500
136,1999,34.73333,135.16667,1991 to 2000,0.136
11510,1986,34.3,133.95,1981 to 1990,11.51
238,1926,35.73333,139.75,1950 and older,0.238
90,1931,42.51667,26.16667,1950 and older,0.09
4300,2010,48.76367,21.17633,2001 to 2010,4.3
16500,1869,49.32694,7.46472,1950 and older,16.5
2440,1829,54.03333,40.9,1950 and older,2.44
4000,1946,54.33333,56.08333,1950 and older,4
845.2,1906,56.8,77,1950 and older,0.8452000000000001
50000,1946,47.83333,30.76667,1950 and older,50
2250,1938,51.15,31.7,1950 and older,2.25
453.6,1961,30.73111,66.80222,1961 to 1970,0.4536
6000,1811,50.75,33.5,1950 and older,6
3719,1906,41.11667,45,1950 and older,3.719
200000,1949,55.78333,61.36667,1950 and older,200
1100000,1998,42.25,59.2,1991 to 2000,1100
4460,1920,37.05,138.38333,1950 and older,4.46
5,1860,29.68333,78.38333,1950 and older,0.005
23,1977,44.51667,39.3,1971 to 1980,0.023
45000,1914,10.83333,76.03333,1950 and older,45
4047,1932,55.2,75.33333,1950 and older,4.047
45000,1886,32.03333,130.63333,1950 and older,45
2800,1879,47.08333,1.75,1950 and older,2.8
399,1878,20.66667,-101.28333,1950 and older,0.399
2000,1924,-37.33333,-61.53333,1950 and older,2
45000,1985,-31.23333,-58.16667,1981 to 1990,45
3833,1871,44.28333,5.58333,1950 and older,3.833
900,1955,26.78333,82.71667,1951 to 1960,0.9
37000,1803,48.76667,0.63333,1950 and older,37
212.5,1910,21.86667,76.03333,1950 and older,0.2125
372,1887,24.45,78.56667,1950 and older,0.372
51700,1872,47.7,1.06667,1950 and older,51.7
7000,1897,43.75,5.11667,1950 and older,7
2300,1947,58.85,16.73333,1950 and older,2.3
1282,1986,46.24167,126.19611,1981 to 1990,1.282
7000,1925,47.75,16.23333,1950 and older,7
14250,1987,33.13333,115.16667,1981 to 1990,14.25
1060,1830,51.9,-1.11667,1950 and older,1.06
800,1938,52.45,51.56667,1950 and older,0.8
3000,1845,47.16667,0.43333,1950 and older,3
780,1845,48.53333,-0.86667,1950 and older,0.78
51500,1943,35.88333,-99.33333,1950 and older,51.5
460,1912,-25.66667,28.36667,1950 and older,0.46
271.4,1999,52.66667,-6.96667,1991 to 2000,0.2714
877,1907,34.58333,-87.5,1950 and older,0.877
700,1900,52.26667,32.85,1950 and older,0.7
125,1857,48.35,3.25,1950 and older,0.125
2000,1896,50.36667,4.73333,1950 and older,2
4000,1973,-26.15,26.18333,1971 to 1980,4
6862,1930,56.65,15.86667,1950 and older,6.862
50000,1813,52.56667,-8.78333,1950 and older,50
1862,1854,52.75,12.9,1950 and older,1.862
498,1978,31.63333,118.98333,1971 to 1980,0.498
12800,1808,50.2,14.85,1950 and older,12.8
491,1839,37.91667,-92.08333,1950 and older,0.491
5213,1820,56,26.43333,1950 and older,5.213
1000,1868,29.53333,71.8,1950 and older,1
40000,1994,26.96556,72.62667,1991 to 2000,40
329.7,2010,38.70066,-77.21163,2001 to 2010,0.3297
25,1894,38,-0.83333,1950 and older,0.025
17000,1970,36.00833,-95.15,1961 to 1970,17
1300,1977,38.25,-85.75,1971 to 1980,1.3
59000,1935,52,19.91667,1950 and older,59
9241,1926,24.95,75.15,1950 and older,9.241
3500,1768,47.85,0.48333,1950 and older,3.5
340,1869,32.03333,-84.76667,1950 and older,0.34
2520,1980,24.8,103.3,1971 to 1980,2.52
11000,1889,56.21667,13.03333,1950 and older,11
885,1813,61.2,27.7,1950 and older,0.885
14000,1753,46.21667,5,1950 and older,14
540,1937,19,97,1950 and older,0.54
